job_titles,descriptions,companies,salaries
2019 Market Data Analyst - Singapore,"You're the type of person who has a passion for taking raw numbers and turning them into actionable insights. Your friends all know you as someone with a true interest in technology, who likes nothing more than spotting a creative way to improve a process. You have a natural eye for detail, and an interest in the financial markets. You are independent and determined, but thrive as part of a team. You enjoy dealing with people, and you're that person who knows what customer service really means.

Our team

Bloomberg runs on data, and our Global Data department is responsible for acquiring it and supplying it to our clients. Our Market Data Analysts collect, analyse, process and publish the data which is the backbone of our iconic Bloomberg Terminal- the data which ultimately moves the financial universe. They apply problem-solving skills to identify innovative workflow efficiencies, and they implement technology solutions to improve our systems, products and processes- and all this while providing platinum customer support to our customers.

We'll trust you to:
Acquire, update, maintain and process financial data using various internal systems and proprietary company software

Come up with innovative ways to enhance our systems and to make our data-related processes more efficient, accurate and timely

Participate in time-sensitive projects, and collaborate with your global colleagues to deliver new initiatives

Partner closely with internal departments such as Sales, Analytics, News and Engineering

Provide a platinum level of service to Bloomberg customers

What's in it for you?

Comprehensive training giving you a thorough overview of financial concepts, various data sets, and of course our state-of-the-art Bloomberg terminal

Gain in-depth, hands-on experience of one particular market sector (For example: Company Financials)

Opportunity to gain exposure to and interact with key market players in business and finance

Make a true business impact on our products and clients – our data moves markets!

Real potential for exciting and varied career progression

You'll need to have:
Bachelor's degree or equivalent work experience

Excellent numerical and communication skills

Business fluency in English

A positive attitude with good inter-personal skills

The ability to multi-task, prioritise and work to tight deadlines

Meticulous attention to detail, with an aptitude for working quickly and accurately

Strong project management, problem solving and analytical skills

Proficiency in Microsoft Excel, with some advanced technical knowledge and experience (VBA, SQL, Python, MATLAB, R)

Available to start in 2019

We'd love you to have:
Interest in, and knowledge or experience of financial statements and the financial markets

Prior experience of data research or process engineering

Fluency in one or more Asian languages

If this sounds like you:
Apply! If we think you're a good match we'll get in touch to let you know the next steps.

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.",Bloomberg,None
Digital Data Management & ITIL Service Catalogue Analyst,"-
This role is required to set up the master data management platform and create a consistent and proper handling of the organisation's data. Support Insights Platform and Technology team to maintain and provide a single source of information. It will also develop and maintain a single source of consistent information on all IT Services in the Service Catalogue as well as communicate the contents to the business users and relevant stakeholders involved in delivering the services.
Education and Experience: -
3+ years' experience in digital data management
Degree in Information Systems, Computer Science, Computer Engineering or related IT discipline
2+ years working experience in IT or related field, with demonstrated ability in the areas of service catalogue / ITIL management
Specific Skills (Knowledge, skills and abilities):
Knowledge and experience with data management systems and SQL / other programming language
Experience working with large datasets and reporting tools
Strong interpersonal skills with the ability to work effectively with diverse teams within and outside the Group IT
Knowledge of IT business processes and how the services in the Catalogue support them
Knowledge of ITIL processes e.g. Service Request Management and Service Catalogue Management
Understanding of the technology components, standard product offerings, and IT infrastructure
Strong initiative, consensus-building and ability to collaborate directly and build strong relationships with variety of internal and external stakeholders
Able to work independently, as a strong self-starter and collaborate with other teams.
If you are interested, please email to HR@sgpoolz.com.sg , and indicate specifically if you are an internal or a referral candidate by whom. ONLY shortlisted candidates will be notified for interview discussions",Singapore Pools,None
Compliance - Analytics - Associate,"JPMorgan Chase & Co. (NYSE: JPM) is a leading global financial services firm with assets of $2.8 trillion and operations worldwide. The firm is a leader in investment banking, financial services for consumers and small business, commercial banking, financial transaction processing, and asset management. A component of the Dow Jones Industrial Average, JPMorgan Chase & Co. serves millions of consumers in the United States and many of the worlds most prominent corporate, institutional and government clients under its J.P. Morgan and Chase brands. Information about JPMorgan Chase & Co. is available at www.jpmorganchase.com.

Our group:
The Compliance Analytics Group (CA) is responsible for statistical and data analytic efforts to improve the scale and performance of JPMC’s regulatory controls relating to Anti Money Laundering (AML), Trade Surveillance, Sanctions Screening, Know Your Customer (KYC), Client Due Diligence (CDD) and other forms of financial crimes monitoring.
The Group plays a global role, engaging with major stakeholders in all of JPMC’s lines of business and countries of operation, including Business Compliance, Operations, Model Review and Technology.
Our work includes developing statistical models to identify suspicious and high risk activity across JPMC’s highly diverse customer base. This is a fast developing space and requires a combination of analytical creativity, mathematical and statistical skills, and analytical execution experience on large datasets.

Description:
We are seeking a suitable candidate with solid experience in application development, maintenance and deployment in data analytics domain to play a key role in our development of quantitative tools and analytics to guide the bank’s monitoring activities.

Major responsibilities and skills include:
Development, maintenance and deployment of quantitative tools and delivery for projects, this requires:
Demonstrated experience in development and deployment of in-house analytics applications
Ability to quickly learn and adopt to new programming languages in a fast changing environment
Ability to identify and automate repetitive tasks
a good understanding of machine learning & data analytical techniques
Support data scientists to design, code, train, test, deploy, and iterate on machine learning systems
Ability to assimilate large amounts of data from multiple sources, and create clear summaries.
Documentation of all code / analysis in an organized, clear manner
Willingness to contribute to colleagues’ projects that are not directly assigned to the individual

Engaging a group of senior leaders in the US to drive decisions for JPMC Corporate Compliance; critical skills are:
Good communication, both verbal and written
Summarizing technical ideas in business-friendly language

Developing subject matter expertise in JPMC products, services and clients
Understand the Compliance dimensions, and sources of relevant customer and transaction data

Key qualifications

Master / Bachelor’s degree in computer science, information science, computer information systems, data engineering or management information systems and/or equivalent work experience.
4+ years programming / software engineering experience with analytical tools and environments (Any two of SAS, Python, and R in cloud environment)
Application development experience in R Shiny a huge plus
Experience in automation
Experience with visualization tools (e.g., Spotfire, Tableau) and database language (e.g., SQL)
Experience in Machine Learning an advantage
Ability to handle multiple projects with minimal oversight, and to respond to changing business priorities",JP Morgan Chase,None
"Insurance, Policy Servicing Executive UP $3800","My client is a fast growing and award winning insurance company with gorgeous office and have a fun working culture!KEY ACCOUNTABILITIESResponsible in all policy servicing matters e.g. policy issuance, billing, membership enrolment (data entry and card printing)Attend to brokers and direct customers enquiries and requests (including New Business, Renewals, Policy Servicing, Claims and Premium Management) through phone, e-mail and direct interactionsDelivering high quality, accurate and prompt service to customers meeting or exceeding respective service levels and turnaround timesComplying with the relevant regulations, internal policies and procedures in the service deliveryQUALIFICATIONS / EXPERIENCEAt least 1 – 3 years of experience within the insurance industryPreferably possess relevant insurance certifications i.e. HIPositive and driven work attitudeGood to have Group Medical system knowledge, including Group Term LifeInfo:Salary UP $3800 + BonusGood benefitsPermanent positionSingaporeans onlyEA License No: 07C3635Registration No: R1439481Job Type: Full-timeSalary: $3,000.00 to $3,800.00 /month",Tangspac,None
Senior Research Analyst - ASEAN,"Senior Research Analyst - ASEAN-823889

At Franklin Templeton Investments, we are dedicated to delivering strong results and exceptional service to clients, team members and business partners. Over 9,000 employees working in 60 offices around the world are dedicated to servicing investment solutions for our clients in more than 150 countries. For over 70 years, our success has been a direct result of the talent, skills and persistence of our people.

We are looking for a Senior Research Analyst to join the Emerging Market team based in Singapore. This role has the primary responsibility to conduct research and analysis of companies’ business and financial position; including cash flow, balance sheet and income statement evaluations. This role will require the incumbent to compile data from multiple sources and develop financial models.
What are the ongoing responsibilities of this position?
Conduct independent research and fundamental analysis of public-listed companies in ASEAN, primarily Singapore, Malaysia, Indonesia and Thailand
Analyze and interpret financial statements and all other pertinent sources of investment information for assigned companies
Develop detailed financial models, research reports and insights on assigned companies
Provide written and oral presentations of investment recommendations to the investment team and keeping the team updated on a regular basis of any changes to the recommendations or forecasts
Analyze and interpret economic developments, trends, and political developments in the assigned coverage
Maintain a general knowledge of the global investment climate, market conditions and economic environment

What qualifications, skills and experience would help someone to be successful?
Bachelor’s degree required
CFA & MBA are preferred
Minimum 7 years of relevant experience with deep knowledge of Singapore, Malaysia, Indonesia and Thailand
Excellent interpersonal, verbal and written communication skills in English is essential
Demonstrated problem solving abilities
Self-starter and ability to work independently
Demonstrated analytical skills and ability to multitask
Meticulous and detail-oriented
What makes Franklin Templeton Investments unique?

In addition to the dynamic and professional environment at Franklin Templeton, we strive to ensure that our employees have access to a competitive and valuable set of Total Rewards—the mix of both monetary and non-monetary rewards provided to you in recognition for your time, talents, efforts, and results.
We believe that being a good corporate citizen is good business. To us, corporate citizenship means being accountable, serving our clients, being an employer of choice, managing our environmental impact, and supporting our communities. An emphasis on corporate citizenship is embedded in our culture and values, and is an important element of how we achieve success.
We are also committed to your learning and development with resources focused around Experience, Exposure, and Education, to help you achieve your professional development goals. Take some time to, meet some of our people, and see what it means to say, “I AM Franklin Templeton.”
Franklin Templeton Investments values diversity in its workforce and welcomes employees from different backgrounds, generations, capabilities, cultural identification, sexual orientations, and gender expression, in addition to other attributes that contribute to a truly diverse and inclusive community.

We regret that only short-listed candidates will be notified.

#LI-APAC
#MID_SENIOR_LEVEL
JOB FUNCTION: Portfolio Management
PRIMARY LOCATION: Singapore-Singapore-Singapore
SCHEDULE: Full-time
JOB POSTING DATE: Apr 2, 2019, 11:12:46 PM",Franklin Templeton Investments,None
SMTS Product Development Eng. (Power and Performance),"What you do at AMD changes everything

At AMD, we push the boundaries of what is possible. We believe in changing the world for the better by driving innovation in high-performance computing, graphics, and visualization technologies – building blocks for gaming, immersive platforms, and the data center.

Developing great technology takes more than talent: it takes amazing people who understand collaboration, respect, and who will go the “extra mile” to achieve unthinkable results. It takes people who have the passion and desire to disrupt the status quo, push boundaries, deliver innovation, and change the world. If you have this type of passion, we invite you to take a look at the opportunities available to come join our team.


Job Title:
Senior Member of Technical Staff (SMTS)

Summary:
New product introduction:
Oversee new device characterization, circuit sensitivity analysis, interpret findings, guide deep-dive investigations to root-cause, and/or provide mitigation actions.
Interface with US product group, design, platform validation, BIOS and test engineers on root cause resolution for device failures.
Interface with US product group, design, platform validation, BIOS and test engineers on optimization of power and performance feature settings.
Interface with US product group, design, platform validation, BIOS and test engineers to understand and resolve silicon speed paths.
Lead effort in New Product Introduction phase to validate new device features and test/DFT methodologies, and implement them in production flow.
Oversee device and process reliability, assess implications of stress-testing outcomes, balance business and quality/reliability requirements for Products and Processes in question.
Foster and develop new ideas/concepts in device test/debug/DFT/DFM and follow-through to deliverable outcomes.

Product health and cost target attainment
Set goal, plan and coordinate (data analysis, debug, root-cause, implementing solutions) yield improvement activities.
Lead effort to optimize product positioning to meet business requirements, from Fab à Assembly à Back-end-Test.

Leadership and team development
Lead and guide team to achieve product team goals.
Manage resources for agility, focus and execution efficiency to deliver outcomes/results aligned to organization goals.
Develop and Apply Test and Debug techniques to enhance technical depth in Product Engineering.
Develop team hard and soft skills for individual career development, and team skillset breath.

Requirements:
Technical and specialized knowledge or experience in microprocessor and semiconductor industries.
Technical and specialized knowledge or experience in power management features used in ASICs.
Technical and specialized knowledge or experience in determination of Silicon speed paths.
Familiar with process technology on FEOL and BEOL and usage of fab parametrics to correlate with yield.
Familiar with DFT and ATE test methodologies.
Familiar with 6- sigma and statatical correlation techniques – Sum of Square / Anova / Linear Regression, etc
Independent, resourceful and takes initiative.
Effective communication skills. A role model for teamwork and cross-functional cooperation.
Help build and develop effective teams.
Leadership qualities, passion for technical subject matter.
Bachelor’s or Master’s degree in Electrical and Electronic Engineering/Computer Engineering with preferred >10 relevant years of experience.

#LI-122193633_DL1


Requisition Number: 68355
Country: Singapore State: Singapore City: Singapore
Job Function: Product Engineering","Advanced Micro Devices, Inc.",None
Data Engineer Position,"Company Overview
AIDA Technologies is a Singapore incorporated company focused on AI based predictive analytics and intelligent systems. The company was founded by a team of award-winning data scientists from Singapore's top research institute to develop advanced Machine Learning solutions for the banking and insurance industry. AIDA's team has combined the deep machine learning know how and significant experience in delivering solutions for banking, financial services and insurance, with a customised engine to not just deliver high precision models, but bridge the gap from modelling to adoption and use of the models. AIDA solutions have been deployed in organizations across ASEAN and India. The company is fast growing and expanding.
Job Summary
We are looking for a Data Engineer who will work on the data transformation and system deployment. The primary focus will be on understanding data science solutions of a particular problem, implement data transformations required, as web APIs. You will also work with a team of highly motivated members and integrate the solution in client environments.
Responsibilities and Duties

Understanding data science problems and solutions provided by senior data scientists
Developing back-end components
System integration and testing
Implementing data transformation (including ETL) for modelling
Developing basic machine learning models

Qualifications and Skills (Requirement)

Diploma in Software Engineering/ B. Eng/ BS in Computing/ Master's degree (preferred) with strong background in Computer Science, Statistics, Data Sciences.
Proficiency in Python and Java.
SQL-based technologies.
Qualifications and Skills (Good to have)
Unix shell scripting.
DevOps tools such as Docker.
Image Data processing knowledge and experience.
Basic Knowledge on Machine Learning.
Experience with AWS services including S3, Redshift, EMR and RDS.

Benefits and Perks

Opportunity to work with best data scientists in the world, including Kaggle Grand Master.
Deliver high impact solutions for prestigious clients across ASEAN India, and Hong Kong.
An exciting learning opportunity at a fast paced startup with open and friendly colleagues.
Competitive salary based on skills & experience with excellent insurance and other benefits.",AIDA Technologies,None
System Analyst (IT),"Roles / Responsibilities-To design, develop and support complex and ongoing ICT and strategic digital innovation solutions and projects for the business units and the company, which includes collecting and analyzing business requirements from stakeholders, developing and delivering solutions, quality assurance and user support.-Analyze business needs then translates and documents operational business requirements into functional specifications for the applicable business or IT unit. Negotiates timeframes and drives completion of agreed upon objectives from requirements to final implementations.-To work with business users to deliver designated projects. To ensure that related processes for data processing and information systems are being implemented to ensure systems/ network integrity and efficiency across different solutions.-To ensure work, information, ideas, and technology flow freely.Qualifications / Experiences-Diploma or Degree in Computer Science or equivalent-At least 5-6 years relevant experience-Strong analytical, technical, interpersonal and communication skills.-Ability to troubleshoot programming and system problems.-Hands-on experience in IT integration projects.-Good knowledge in Process Mapping and project management tools.-Analytical mind with problem-solving aptitude.-Good working knowledge on Microsoft Windows operating system and database systems, Eg. SQL, Oracle, etc.-Knowledge in following languages, tools and technologies: Web services using SOAP and XML, PL / SQL development, data integration tools, ASP.NET, Angular JS, CSS, JS, PHP, & Systems life cycle.-Knowledge of Networking, cloud and solution architecture.-Having statistical knowledge on data warehousing and business analytics development will be an added advantage.Contact DetailsInterested applicants, please send in your application with a cover letter and resume.Due to high volume of applications received, we regret that only shortlisted applicants will be contacted.Job Types: Full-time, PermanentSalary: $5,000.00 to $6,000.00 /month",Eastern Pacific Shipping Pte. Ltd.,None
Team Lead/ Senior Agent,"Join the Global Team & Make a Difference ! (http://www.teleperformance.com)We are the worldwide leader in outsourced omnichannel customer experience management. Teleperformance connects the biggest and most respected brands on the planet with their customers by providing customer care, technical support, customer acquisition, digital solutions, analytics, back-office and other specialized services to ensure consistently positive customer interactions.We constantly invest in research and development to get a deeper understanding of customers' thoughts, behaviors and needs - for different countries, industries, channels and generations. We are experts in people interactions and it gives us the edge in delivering a superior customer experience in every contact.For almost four decades, we have been helping our clients in 160 markets around the world strengthen their relationships with their customers.We are a team of 217,000 passionate people working in 340 sites providing outstanding customer experience from 74 countries in 265 different languages and dialects.As one of the world's larger private sector employers and clear global industry leader, our strategy is to attract and retain the best people and provide the best working environment to inspire our teams all around the world. We know happy employees are more engaged to make a better experience that drives higher customer satisfaction, retention and growth.That is why we transform passion into excellence._____________________________________________________________________________*We are looking for highly motivated & performance oriented individuals who wish to contribute and participate in the rapid growth of the company.ResponsibilitiesAnswering escalated calls and handle complex emailsProvide quality customer service to customers over the phone or emailManage and develop a team of assigned agents to meet key operational metricsProvide guidance, support and coaching to assigned agentPrepare reports and data analysis of call patternsJob RequirementsMinimum Diploma with at least 1 year of relevant experience in contact centreGood written and spoken English and ChineseAble to demonstrate good interpersonal and leadership skills with an ability to mentor, coach and motivate team membersJob Type: Full-timeSalary: $2,300.00 to $2,500.00 /month",Teleperformance Singapore,None
"Research Assistant, Research & Innovation (IAL)","This position requires the appointee to support research projects and dissemination of research findings.

Undertake literature reviews, including search, analysis and writing functions.
Actively participate in the conceptualisation and scoping of research proposal, design and questions which includes the following:
Refine sample selection and designing data collection instruments.
Draft data collection instruments (e.g. interview questions, questionnaire)
Manage pilot(s) of surveys and focus group discussions
Draft relevant sections in research reports/articles to inform policy making and improve practice
Support the dissemination of research findings
Assist with other research work such as:
Manage research project schedule and implementation
Manage and monitor project budget collect, clean, and perform preliminary data analysis
Organise and set up research interviews
Manage vendors performing data collection, and monitor their data collection progress and rigour
Coordinate project updates for reporting
Prepare and support presentations to key stakeholders
Coordinate research dissemination plans and activities
Procure required services
The successful appointee will be based in IAL Campus located at Lifelong Learning Institute at Paya Lebar.

JOB REQUIREMENTS
A tertiary qualification in education / social science / economics / statistics / psychology (behavioral science)
Candidates with post-graduate research-based qualifications will have an added advantage
An interest in pursuing empirical research in the field of work and learning, skills, career and employability
Ability to think in the abstract and conceptualise from literature and empirical data
A willingness to learn and explore ideas/tools will be a desirable quality
Ability to write and document research findings and prepare research reports for publication
Capability to work confidently with other researchers, and engage stakeholders and the CET community.
Ability to work both autonomously and as part of a team",Singapore University of Social Sciences,None
