,links
0,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ab67y_gTDH9tSaT0HLOcX4Q3W4UsL2WfVRyJV-qqww-cEl5D_IK3dWzCQLZXMPJWET6lq0YoR5RYmiGyaaCIYsj1vfJuX26GnE_uZExXPWVVzgfjRBOHF84fWfTKQTSZThCag50qqgp52rWJ1qK22Y1_KSTGvGqVZ4cqesQ79ztphAhvlRxXeweLImAIJxNLcAU3O0hmaI3ghXx7rf3SMM3dop0ZPqI01_dMaWl9RzpYCJtMwOIYleyCStItVjP8-OBdM7enL3vKEc62QLXCw3PQG4NuUty0atwI_h2mrCb_FPV8JjqZ1G1Eg4nwVBjksnZQHt-zGqfOMw3_Tw9NJZwL_ESDz7fksMH1QHQ3cj_Voqkf0vaqLDj_j0TReETXtByUkwyb7kjVh9hE1CcaO02su4spQCvXCkE6cQCCCa9-ql-qD3qfxCLPjK7q7Y7L7IiKPRh7mbP5xlp3bfDK9AGRqFt4ZpHk59CbwJMwVlSaizq7W52uABecOEUkTkhIcA5ixxgZ6S2Q7MiAAZAxsIFQxmb3MdIos8vIP5mKviN6SWgHQ00Wk4y-UGJaAsFDYBiN9fSV2tKt-3PXFAXL5YG2pR1vm-Uh9DtRpgDhKpBcsiyU_FN_u78_o5PRkDdRqIiMi0EG0iIJtlQKRfeskniGhMSb8cAgME8n6EFqONuBcp2Xlvxqj8sD2lBXEXtDVgQO_jG9s4h4o5uaomFSrbaivkdr7lR1CXYLk-AAhnFj53z9N9ZXIFsEAHQwPKgnz6_R1G_wRIPRf_S3Wu1etFrDAGqByvYCnk6LUfbR0nGCFxyxiST59MXyhYS_Vo8sozaWy_aRcvNkPPc-lTT7up8JWLXNRjAQUrXS706hFDBO792s9HGsC3l4n2suDgtE3p2PGqsbnDmw==&vjs=3&p=3&fvj=0
1,https://ca.indeed.com/rc/clk?jk=9fc7b727540b30b1&fccid=cbc377cadabd2248&vjs=3
2,https://ca.indeed.com/rc/clk?jk=3d6f5e1b0f9344e9&fccid=c46d0116f6e69eae&vjs=3
3,https://ca.indeed.com/company/tangspac/jobs/Insurance-114c998292ba8796?fccid=edb9570e508ea6b8&vjs=3
4,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AeA1bVQW4ZMLqNzFhTHMwJyfK7edqDf87X3LjOpp-Ti1AXWyapxc029ASeacP14ALQA-o1MTuhvj_Loyz75-MPsHDIDE4L97nQe9x3ACvFFoDbWQ24Bd1MxK0zCzmtcyzj8lZ7PFJw4Kfzla_BtflXejf54ZOIrFY6JKoFElJmBpIAIE3ZD_qg4CZaHHs7tFuTZWVOdYur0lyYkNKj1-TYdEskt7vgo5miRt_dpy-TM5ykVPGYn6bE3QcgzAIGxIiMhFrrYpyj_nKKUUxo_XBkHtpLXyvaN0Z2hearxNtWdrPYsWNGc6fS0EwBteYXmO24M6rCDf9Nesv95pj0bGaT5HsSe5lSL964qrv-YZY-tMGDvQff5iXxd5b9_qqj6_PP4hvyw7PR-SrY6VvwvoxMbTbHx91Vi0yKjvxOU0FfYxuZmFshMR50FOjBZOsHIPeOiKHDRIoPBXHC0wh10-KW7DEW-ci0N0Jo3lBUQgBGR__1_ojNL3zIdy3HjpfJyjm_FhfgUkfc5kdxHNs0OfsG-sFI57J92V_DGJr9u7M-J7-Chp3U-eelK1WgkXuMOMkXwsURZGQbIntZWC6lGloEXOqlvcXFALtkXFaFnG7jYeIuE9e_NL3gW1_FaN6BwUbwC75QXFn1AJwiwcBjk_4TjrXSbeBfA29JyxAL4xfLWpUUdLuOB8RyOgOFWTtprS0=&vjs=3&p=2&fvj=0
5,https://ca.indeed.com/rc/clk?jk=ed8f1985d400c0b2&fccid=b45c4b5a9c9a7448&vjs=3
6,https://ca.indeed.com/rc/clk?jk=823914423bd310f4&fccid=02d6d6b4f7fecab0&vjs=3
7,https://ca.indeed.com/company/EASTERN-PACIFIC-SHIPPING-PTE.-LTD./jobs/System-Analyst-0495b69f1af5a8b5?fccid=3b177ae443820209&vjs=3
8,https://ca.indeed.com/company/Teleperformance/jobs/Team-Lead-ecb67d9e737e0701?fccid=02e72612c7c0d1ce&vjs=3
9,https://ca.indeed.com/rc/clk?jk=6499cf0d6c34cbea&fccid=60e55c8dfb4ffadd&vjs=3
